space,id,title,author,discussion,start,end,end_iso,state
lido-snapshot.eth,0x3f68e9bc69850da419211c3d9f0a76d006ed044abc0f8bc845bc1d1cf3db0a8d,Nethermind → Twinstake Validator Operations Migration,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/nethermind-no-curated-validator-set-transfer-to-twinstake/10288,1756742400,1757347200,2025-09-08T16:00:00+00:00,closed
lido-snapshot.eth,0x7d7f0e1a6d181310f8752af37e20515a9be258f30b211872f9acca99bc478851,Triggerable Withdrawals Framework in the Lido Protocol,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/triggerable-withdrawals-framework-in-the-lido-protocol/10299,1753095942,1753718400,2025-07-28T16:00:00+00:00,closed
lido-snapshot.eth,0xc3f92bcdf8926cfa7528ca6a979c0fdce1e4d0cfaaa72dd6410a76a2e1e55766,CSM v2 Final Rollout,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/community-staking-module/5917/139,1753094796,1753718400,2025-07-28T16:00:00+00:00,closed
lido-snapshot.eth,0x15cdcb4881d85d48e363bcc449cabfc26b627ac395e2515d65d6637453c35ab3,DVT Integration Guidelines for the Curated Module Node Operators,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/proposal-curated-module-intra-operator-dvt-guidelines/10197,1750690800,1751299200,2025-06-30T16:00:00+00:00,closed
lido-snapshot.eth,0xdc208507ca0f659c7f9e38056288aedb7610816ea4020ca751c3422434780de8,Decision on Kyber Network's position in the Oracle Set: rotate to Caliber or remove and change the quorum,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/kyber-network-propose-rotation-to-caliber-in-the-oracle-set/10089,1750690800,1751299200,2025-06-30T16:00:00+00:00,closed
lido-snapshot.eth,0x8b6addc4be1a9ef4b2a1591be5ac4909aa82c868cd9b7871494b626539a99a8e,Proposal for Updating Block Proposer Rewards Policy to Lido on Ethereum SNOP on Block Proposals v3,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/proposal-of-lido-on-ethereum-snop-on-block-proposals-v3/10192,1750690800,1751299200,2025-06-30T16:00:00+00:00,closed
lido-snapshot.eth,0x26a66c9b91ff46aeac74b6f6714467993edc6840a8f292fb5c1366fc44dec2a6,"LIP-28: Dual Governance — Implementation, Parameters, Committees",0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/lip-28-dual-governance/10032,1747856700,1748448000,2025-05-28T16:00:00+00:00,closed
lido-snapshot.eth,0xf7630cd2bfe47e892f8293cd68be277fefc33ba19f43c756747fe1113456ac4b,Establishment of the Auxiliary Proposer Mechanisms Committee,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/establishing-the-apm-committee/9998,1747843200,1748448000,2025-05-28T16:00:00+00:00,closed
lido-snapshot.eth,0xf7b718e7807f763ba826735781145dd06b79b0228b37b74a22dd5ac252e03c40,Community Staking Module v2. Architecture and Fee Structure,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/community-staking-module/5917/117,1747843260,1748448000,2025-05-28T16:00:00+00:00,closed
lido-snapshot.eth,0x2533d8d3903d94daa4de16ef7abf957441439e7867962ce8709a375479f417de,Extend Delegate Incentivization Program through 2025,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/establish-a-public-delegate-platform-and-delegate-incentivization-program/7858/49,1745251200,1745856000,2025-04-28T16:00:00+00:00,closed
lido-snapshot.eth,0xc67103e65d8bb4e088ddb89e0a7654fa56db5f0162f5870fca41c5dabd937f11,Lido Alliance application: Twyne,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/twyne-lido-alliance-proposal/9901,1745251200,1745856000,2025-04-28T16:00:00+00:00,closed
lido-snapshot.eth,0xcd1c1a051888efd495d97458ae9fa4fe5198616eb3d92a71d3352d9f25e79c4e,CSM: stakeShareLimit and keyRemovalCharge parameters adjustment,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/community-staking-module/5917/104,1745251200,1745856000,2025-04-28T16:00:00+00:00,closed
lido-snapshot.eth,0x3ecd09e4c0f22d25c711ca5777c49c22d144385b85dd7f696ca6cc66cc0ca157,Increasing LOL Easy Track Limits to align with Grant Requests,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/increasing-lol-et-limits-to-align-with-egg-lido-ecosystem-borg-foundation-grant-funding-request/9881,1745251200,1745856000,2025-04-28T16:00:00+00:00,closed
lido-snapshot.eth,0xf752b2dbc9cf8693abf01b29938d7f7e0dd7e1ebe088583fd61da7641b870a36,Re-endorsement of wstETH on Starknet,0x01519Ce4a6276EF977E6e63BbDBfef9187197E99,https://research.lido.fi/t/re-endorsement-of-wsteth-on-starknet/9725,1743020971,1743712140,2025-04-03T20:29:00+00:00,closed
lido-snapshot.eth,0xb6559f0cdb1164ae5d63769827c4a275805bd944392a17b60cf51ddc54429dc6,Ensuring Compatibility with Ethereum’s Pectra Upgrade,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/lip-27-ensuring-compatibility-with-ethereum-s-pectra-upgrade/9444,1742226900,1742832000,2025-03-24T16:00:00+00:00,closed
lido-snapshot.eth,0x90e2f9926e37867d2ef319a8ef7a0257bb5695086b64b88b43b43f00959a0047,[EGG] Lido Ecosystem BORG Foundation Grant Funding Request (Apr-Dec 2025),0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/egg-lido-ecosystem-borg-foundation-grant-funding-request/9706,1742226960,1742832000,2025-03-24T16:00:00+00:00,closed
lido-snapshot.eth,0xb58527a05581849b3890ff226fa30f2b5e19f7742fe8f4f94e6c953fe0055c0e,[EGG] Lido Labs BORG Foundation Grant Funding Request (Apr-Dec 2025),0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/egg-lido-labs-borg-foundation-grant-funding-request/9708,1742227020,1742832000,2025-03-24T16:00:00+00:00,closed
lido-snapshot.eth,0xf1074ec134595ba8ba6f802c5e505fda32e6ab93e9763d1e43001f439241b7c9,MEV-Boost Relay Allowed List management via Easy Track,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/introduce-easytrack-factories-for-managing-mev-boost-relay-allowed-list/9638,1742227080,1742832000,2025-03-24T16:00:00+00:00,closed
lido-snapshot.eth,0x97e858cf28d8287bf268948e71e98bcd7b5b96a75f596260d0c614185b2ef237,SSV Lido Module Proposal,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/ssv-lido-module-ssvlm-proposal/9630,1742227140,1742832000,2025-03-24T16:00:00+00:00,closed
lido-snapshot.eth,0x48e552d0dab3d49f72f8618302a68be56afbdfef0d0e7bcf9f73588335d2842b,Lido DAO Ops Multisigs Policy 2.0,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/lido-dao-ops-multisigs-policy-2-0/9574,1742227200,1742832000,2025-03-24T16:00:00+00:00,closed
lido-snapshot.eth,0x2acd7e052fc5ac2513509f5023975451f69fd488628577fedf369c3da97bef6a,LEGO: Proposal to replace Tim Beiko with Eric Siu and update council members rotation rules,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/lego-proposal-to-replace-tim-beiko-with-eric-siu/9327,1737645890,1738252800,2025-01-30T16:00:00+00:00,closed
lido-snapshot.eth,0x7f72f12d72643c20cd0455c603d344050248e75ed1074c8391fae4c30f09ca15,Establishment of Lido Ecosystem BORG Foundation as a Lido-DAO-Adjacent Foundation,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/establishment-of-lido-ecosystem-borg-foundation-as-a-lido-dao-adjacent-foundation/9345,1737645309,1738252800,2025-01-30T16:00:00+00:00,closed
lido-snapshot.eth,0xdf648307e68415e7b5cf96c6afbabd696c1731839f4b4a7cf5cb7efbc44ee9d6,Establishment of Lido Labs BORG Foundation as a Lido-DAO-Adjacent Foundation,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/establishment-of-lido-labs-borg-foundation-as-a-lido-dao-adjacent-foundation/9344,1737643614,1738252800,2025-01-30T16:00:00+00:00,closed
lido-snapshot.eth,0x58fc14fac3bcdf65c7b9dd871ec555da8c2ff6387b9a443ddf5fce5f41d4db91,Should Attestant continue in the Curated set following the acquisition by Bitwise?,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/attestant-joins-bitwise/8828,1737642184,1738252800,2025-01-30T16:00:00+00:00,closed
lido-snapshot.eth,0x93baeaa1b3e3ed31df27dc5dbbb729cc562d6766513b01ef59ec8f362d45edd5,Should Solstice continue in the Curated set following the acquisition of Bridgetower?,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/bridgetower-is-now-part-of-solstice-staking/9135,1737641687,1738252800,2025-01-30T16:00:00+00:00,closed
lido-snapshot.eth,0x969f9a3b3f52742b9763d8e128f2418a0ce888433e130a60f7fef809787ffdb4,Update Lido on Ethereum Standard Node Operator Protocol - Validator Exits,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/update-proposal-lido-on-ethereum-standard-node-operator-protocol-validator-exits/8722,1734356280,1734969600,2024-12-23T16:00:00+00:00,closed
lido-snapshot.eth,0xa58da73cc4257837ae981d8ad861252f4cbbda7a173a577702f8f93561f57825,Extend On-Chain Voting Duration,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/optimizing-lido-on-chain-voting-timelines-for-inclusive-governance/8265,1734355327,1734969600,2024-12-23T16:00:00+00:00,closed
lido-snapshot.eth,0x8736420fd3ebecc1aae603c3a49d6805899c38b142c92525169e5bfa95f53b26,[EGG] Multi-EGG Continuity Grant Funding,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/egg-multi-egg-continuity-grant-funding/9067,1734354953,1734969600,2024-12-23T16:00:00+00:00,closed
lido-snapshot.eth,0x7569e4487b7737fa8e98fe708843deb014a61d0dbfeeb6e57ad1f4dba5494598,Lido Alliance Grant Proposal,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/egg-lido-alliance-grant-funding/9068,1734353619,1734969600,2024-12-23T16:00:00+00:00,closed
lido-snapshot.eth,0x7cbd5e9cb95bda9581831daf8b0e72d1ad0b068d2cbd3bda2a2f6ae378464f26,CSM: Enable Permissionless Phase and Increase the Share Limit,0xDbBC6A93ae517D3ea568C04219cbBBd025f01CB6,https://research.lido.fi/t/community-staking-module/5917/75,1734353132,1734969600,2024-12-23T16:00:00+00:00,closed
lido-snapshot.eth,0xeedef9fea3d782f192410768cabaf6974da40ef36e1d22c7f8fff5fd4cfc7a59,GOOSE 2024 cycle: Lido DAO goals for 2025,0x8Ee5143fb47d3234B36d6a77dEb88fbd8047Fbc1,https://research.lido.fi/t/hasus-goose-2-submission-a-product-line-approach-to-grow-lido-s-staking-ecosystem/8841,1732214385,1732809600,2024-11-28T16:00:00+00:00,closed
lido-snapshot.eth,0x2f745cb0147791cf656ab292f872f8277ff9df5c9585dbc6622dbda88362d402,Reevaluation of Lido on Polygon state,0x8Ee5143fb47d3234B36d6a77dEb88fbd8047Fbc1,https://research.lido.fi/t/reevaluation-of-lido-on-polygon-state/8848,1732213833,1732809600,2024-11-28T16:00:00+00:00,closed
