space,id,title,author,discussion,start,end,end_iso,state
metislayer2.eth,0x235325f98132be92efb22d99f6f5fd31aafb960f72696ddda6f706076341725a,Ecosystem Proposal: Chainstack Metis support highlight in Docs and on socials,0x2FB32fEff6718d8E6D23f9cb3149FAa226ac6CB6,https://forum.ceg.vote/t/ecosystem-proposal-chainstack-metis-support-highlight-in-docs-and-on-socials/5854/2,1750680000,1751112000,2025-06-28T12:00:00+00:00,closed
metislayer2.eth,0xca0df090bb2b2d01f19ec3dabac3d7d1d5b0c8e92c0f050552ca23500a7b915c,Proposal to Empower Metis Builders with Aethir’s Distributed Compute,0x2FB32fEff6718d8E6D23f9cb3149FAa226ac6CB6,https://forum.ceg.vote/t/proposal-to-empower-metis-builders-with-aethir-s-distributed-compute/5306,1749470400,1749902400,2025-06-14T12:00:00+00:00,closed
metislayer2.eth,0x82192dbc8d8333a78d5a11740b87fa646b675121512e8d77dd81b98d23de72f4,Quack AI: The AI Snapshot. The AI protocol for Metis on-chain governance,0x2FB32fEff6718d8E6D23f9cb3149FAa226ac6CB6,https://forum.ceg.vote/t/quack-ai-the-ai-snapshot-the-ai-protocol-for-metis-on-chain-governance/4077,1747656000,1748088000,2025-05-24T12:00:00+00:00,closed
metislayer2.eth,0xae92306489bf76207842f85609d054c679d65d32c9547f3732a028e69b7726f0,Ecosystem Proposal: NAVAI - AI powered 3D mapping platform,0x2FB32fEff6718d8E6D23f9cb3149FAa226ac6CB6,https://forum.ceg.vote/t/ecosystem-proposal-navai-ai-powered-3d-mapping-platform/3991,1747054800,1747486800,2025-05-17T13:00:00+00:00,closed
metislayer2.eth,0xcf0e039459924a03e2d3aeccce17a93a3036be008866654e7b90fdc01e219d20,Ecosystem Proposal: SubQuery Indexing SDK,0x2FB32fEff6718d8E6D23f9cb3149FAa226ac6CB6,https://forum.ceg.vote/t/ecosystem-proposal-subquery-indexing-sdk/3980,1746450000,1746882000,2025-05-10T13:00:00+00:00,closed
metislayer2.eth,0x5ddfefe5af625e607e57c2ad61e75b30e72b151ec92c5784ff1e128b2a47bfbb,Ecosystem Proposal: Futuris & FuturisLab (revote),0x2FB32fEff6718d8E6D23f9cb3149FAa226ac6CB6,https://forum.ceg.vote/t/ecosystem-proposal-futuris-futurislab/3918,1743526800,1743958800,2025-04-06T17:00:00+00:00,closed
metislayer2.eth,0x39d8c88fbbed12e86ef56bf72b0db30de43e21a1e50dffb3706ac48e33806168,Ecosystem Proposal: Stride - Everyone can be healthier (revote),0x2FB32fEff6718d8E6D23f9cb3149FAa226ac6CB6,https://forum.ceg.vote/t/cvp-proposal-stride-everyone-can-be-healthier/3833,1743526800,1743958800,2025-04-06T17:00:00+00:00,closed
metislayer2.eth,0xc0322861ab8b9900ec83624041b01d9b9aa4bea1a9f96e6ee6769ef3e3bfab70,Ecosystem Proposal: Bring Free Exposure to the Metis Ecosystem through Magic Square (revote),0x77a7b8856D90798eff57D4dbfe16a3D182F883EC,https://forum.ceg.vote/t/ecosystem-proposal-bring-free-exposure-to-the-metis-ecosystem-through-magic-square/3864,1741708800,1742140800,2025-03-16T16:00:00+00:00,closed
metislayer2.eth,0x549fff6e4a848433a927c9d5524542085ecd0d42e625dfda5624763826e1323f,Ecosystem Proposal: Invnex; Institutional-Grade Fixed Income & Alternative Assets Onchain,0x77a7b8856D90798eff57D4dbfe16a3D182F883EC,https://forum.ceg.vote/t/cvp-proposal-invnex-institutional-grade-fixed-income-alternative-assets-onchain/3884,1741708800,1742140800,2025-03-16T16:00:00+00:00,closed
metislayer2.eth,0x3fe7f9f946a9157d37093c6800e39cb3a4f8f7094c06a1d73ee53804e80f49b9,Ecosystem Proposal: Biomapper for Sybil Resistance,0x77a7b8856D90798eff57D4dbfe16a3D182F883EC,https://forum.ceg.vote/t/integrating-biomapper-into-the-metis-ecosystem-for-sybil-resistance/3893/1,1741708800,1742140800,2025-03-16T16:00:00+00:00,closed
metislayer2.eth,0xa37e015f7244a0d01bbc2df23d6794ffc3ba99ff2089126ac0341e3a5f43628d,Ecosystem Proposal: Exolix,0x536Cf451e6f5C0CFe6175293970D59AaC7c28812,https://forum.ceg.vote/t/cvp-proposal-exolix/3879,1739899678,1740331678,2025-02-23T17:27:58+00:00,closed
metislayer2.eth,0xb6d158f940b98b0bf9c4f6b418d916d85354a488bc9b9930c4c3e482574ae674,Ecosystem Proposal: Bring Free Exposure to the Metis Ecosystem through Magic Square,0x536Cf451e6f5C0CFe6175293970D59AaC7c28812,https://forum.ceg.vote/t/ecosystem-proposal-bring-free-exposure-to-the-metis-ecosystem-through-magic-square/3864,1739899206,1740331206,2025-02-23T17:20:06+00:00,closed
metislayer2.eth,0xf285ad269a981e6905fb853f81a1cdbf3cfd4da40d2a5e27f19d572b12957d14,[Revote] CVP Proposal: Stride - Everyone can be healthier,0x536Cf451e6f5C0CFe6175293970D59AaC7c28812,https://forum.ceg.vote/t/cvp-proposal-stride-everyone-can-be-healthier/3833,1739898936,1740330936,2025-02-23T17:15:36+00:00,closed
metislayer2.eth,0xce58eee0af1d0f42278d0adf1bb56484f436dd9af7195ecaae1d96219bf210aa,Governance Proposal [MIP-5]: Phased Upgrade to the CVP System,0x77a7b8856D90798eff57D4dbfe16a3D182F883EC,https://forum.ceg.vote/t/mip-5-phased-upgrade-to-the-cvp-system/3872/1,1739386800,1739818800,2025-02-17T19:00:00+00:00,closed
metislayer2.eth,0x47129f053e1419bca9fdebdc06718385c909e7e07244a68e2a24eee79ead910d,Ecosystem Proposal: Futuris,0x77a7b8856D90798eff57D4dbfe16a3D182F883EC,https://ceg.vote/t/ecosystem-proposal-futuris/3816,1736787661,1737219661,2025-01-18T17:01:01+00:00,closed
metislayer2.eth,0xe5ea99f1c94427eb40e73006b6864b85900624faeca592656a45e924ee011b54,Ecosystem Proposal: Stride - Everyone can be healthier,0x77a7b8856D90798eff57D4dbfe16a3D182F883EC,https://ceg.vote/t/cvp-proposal-stride-everyone-can-be-healthier/3833,1736787157,1737219157,2025-01-18T16:52:37+00:00,closed
metislayer2.eth,0x3c0a2e5e310f42ea4f762f072beb6b225099122a75ab2f0cea22c716ee7384ce,Ecosystem Proposal: Aqualis Protocol - A new DEX with integrated lending protocol on Metis,0x77a7b8856D90798eff57D4dbfe16a3D182F883EC,https://ceg.vote/t/cvp-proposal-aqualis-protocol-a-new-dex-with-integrated-lending-protocol-on-metis/3769,1735578000,1736010000,2025-01-04T17:00:00+00:00,closed
metislayer2.eth,0x2033ef3e2ecbb76450c7adc2d407612808bd6b0243b20b115dce026c22ff3215,"Ecosystem Proposal: Uponly - The ultimate platform to launch token, memes and AI agents on Metis",0x77a7b8856D90798eff57D4dbfe16a3D182F883EC,https://ceg.vote/t/uponly-the-ultimate-platform-to-launch-token-memes-and-ai-agents-on-metis/3762,1735578000,1736010000,2025-01-04T17:00:00+00:00,closed
